Date,Products,Cost,Revenue,Profit
11-01-2016,Road Bikes,1701,2370,2370
11-01-2016,Helmets,385,398,398
18-01-2016,Mountain Bikes,2320,3023,3023
18-01-2016,Bottles and Cages,230,294,294
18-01-2016,Bottles and Cages,140,167,167
18-01-2016,Helmets,945,873,873
21-01-2016,Mountain Bikes,2295,2741,2741
21-01-2016,Helmets,875,1249,1249
23-02-2016,Touring Bikes,2384,2776,2776
30-03-2016,Road Bikes,1701,1931,1931
30-03-2016,Helmets,1015,1450,1450
21-05-2016,Touring Bikes,742,668,668
21-05-2016,Bottles and Cages,36,41,41
21-05-2016,Bottles and Cages,50,68,68
21-05-2016,Gloves,661,936,936
06-06-2016,Touring Bikes,2384,2949,2949
06-06-2016,Helmets,560,612,612
06-03-2015,Road Bikes,2443,2499,2499
23-03-2015,Mountain Bikes,2049,2271,2271
30-03-2015,Road Bikes,2182,1655,1655
09-07-2015,Mountain Bikes,2320,1599,1599
27-11-2015,Mountain Bikes,565,692,692
27-11-2015,Bottles and Cages,80,97,97
08-12-2015,Road Bikes,540,368,368
20-01-2016,Road Bikes,540,567,201
20-01-2016,Helmets,245,283,870
24-01-2016,Touring Bikes,2384,2425,99
03-02-2016,Mountain Bikes,2295,2296,94
03-02-2016,Helmets,770,1023,8
14-04-2016,Mountain Bikes,2320,2308,85
14-04-2016,Helmets,140,181,212
28-04-2016,Touring Bikes,2384,2275,1011
28-04-2016,Helmets,1050,1370,58
29-04-2016,Mountain Bikes,2295,2504,71
05-06-2016,Mountain Bikes,2320,2468,905
13-06-2016,Touring Bikes,2384,2501,1420
13-06-2016,Helmets,945,1232,1884
15-06-2016,Touring Bikes,2384,2446,95
28-07-2016,Helmets,525,654,58
08-06-2015,Road Bikes,2182,1922,851
17-06-2015,Mountain Bikes,2049,1892,195
21-06-2015,Road Bikes,2443,2314,2267
30-06-2015,Mountain Bikes,2049,1884,2326
16-07-2015,Mountain Bikes,2295,2084,90
16-07-2015,Helmets,315,359,149
24-07-2015,Mountain Bikes,2320,2222,828
31-07-2015,Road Bikes,2443,2251,167
04-08-2015,Mountain Bikes,2295,2376,45
12-08-2015,Touring Bikes,742,770,74
02-09-2015,Road Bikes,2443,2318,184
25-09-2015,Touring Bikes,742,659,414
25-09-2015,Helmets,210,233,1566
10-10-2015,Road Bikes,540,465,2323
10-10-2015,Helmets,420,456,672
25-10-2015,Helmets,840,925,101
31-10-2015,Helmets,875,883,92
19-11-2015,Mountain Bikes,2295,2068,83
24-11-2015,Mountain Bikes,2320,2094,798
24-11-2015,Helmets,525,605,31
26-11-2015,Touring Bikes,2384,2235,976
26-11-2015,Helmets,560,633,335
28-11-2015,Touring Bikes,2384,2192,986
11-12-2015,Road Bikes,540,502,712
11-12-2015,Helmets,630,669,367
29-01-2016,Tires and Tubes,660,1066,180
29-01-2016,Tires and Tubes,37,56,37
19-03-2016,Touring Bikes,2384,2988,900
19-03-2016,Tires and Tubes,754,1178,3681
19-03-2016,Tires and Tubes,75,113,99
13-06-2016,Road Bikes,2443,3419,67
13-06-2016,Bottles and Cages,54,76,1351
01-07-2015,Bottles and Cages,50,67,701
01-07-2015,Bottles and Cages,140,177,419
22-06-2016,Cleaners,111,166,152
05-10-2015,Cleaners,191,254,998
15-01-2016,Bottles and Cages,135,201,519
15-01-2016,Gloves,686,870,1509
15-01-2016,Bottles and Cages,70,99,2567
24-04-2016,Bottles and Cages,90,94,835
24-04-2016,Bottles and Cages,5,8,14
28-09-2015,Bottles and Cages,80,85,72
28-09-2015,Bottles and Cages,225,212,2386
05-07-2015,Bottles and Cages,105,138,2709
05-07-2015,Bottles and Cages,110,161,952
24-01-2016,Tires and Tubes,400,498,1284
07-02-2016,Tires and Tubes,84,108,1493
07-02-2016,Tires and Tubes,559,649,2687
07-02-2016,Gloves,392,483,3234
17-02-2016,Touring Bikes,2384,2415,1555
14-04-2016,Tires and Tubes,725,903,2685
14-04-2016,Tires and Tubes,40,49,192
28-04-2016,Tires and Tubes,96,121,46
28-04-2016,Tires and Tubes,408,481,1035
03-06-2016,Touring Bikes,742,716,10
18-06-2016,Touring Bikes,2384,2432,2516
18-06-2016,Tires and Tubes,25,32,1812
18-06-2016,Tires and Tubes,406,460,2078
18-06-2016,Tires and Tubes,62,76,384
28-06-2016,Tires and Tubes,36,43,2696
27-08-2015,Tires and Tubes,359,365,69
21-10-2015,Tires and Tubes,522,558,70
13-11-2015,Tires and Tubes,365,377,691
13-11-2015,Tires and Tubes,92,96,868
01-12-2015,Touring Bikes,2384,2267,2211
30-12-2015,Touring Bikes,742,676,2008
30-12-2015,Caps,225,272,595
20-06-2016,Touring Bikes,742,757,38
26-05-2016,Bottles and Cages,210,249,71
26-05-2016,Bottles and Cages,75,96,111
26-05-2016,Vests,127,140,563
16-06-2016,Helmets,315,382,20
27-08-2015,Helmets,175,197,228
02-10-2015,Helmets,630,704,970
18-04-2016,Tires and Tubes,980,1196,1772
18-04-2016,Tires and Tubes,80,106,543
18-04-2016,Tires and Tubes,23,25,552
17-10-2015,Tires and Tubes,92,106,1191
17-10-2015,Helmets,560,621,2188
16-06-2016,Touring Bikes,742,737,2592
16-06-2016,Helmets,210,269,2697
16-06-2016,Gloves,686,734,32
04-07-2015,Tires and Tubes,37,41,2377
16-01-2016,Tires and Tubes,315,402,1774
12-06-2016,Tires and Tubes,100,136,76
27-07-2016,Tires and Tubes,75,87,2040
03-11-2015,Tires and Tubes,15,16,2783
03-11-2015,Tires and Tubes,315,356,553
22-11-2015,Tires and Tubes,24,24,2075
22-11-2015,Tires and Tubes,64,64,2122
22-11-2015,Cleaners,207,215,321
26-01-2016,Helmets,560,738,4
01-04-2016,Mountain Bikes,2295,2407,774
01-04-2016,Helmets,980,1387,280
01-06-2016,Mountain Bikes,2295,2479,9
09-06-2016,Road Bikes,540,564,121
22-06-2016,Touring Bikes,742,675,1854
22-06-2016,Helmets,875,1058,54
02-02-2015,Mountain Bikes,2049,1719,2660
19-07-2015,Mountain Bikes,2295,2349,330
03-09-2015,Mountain Bikes,2295,2133,462
03-09-2015,Helmets,105,113,520
11-09-2015,Mountain Bikes,2320,2087,2525
28-01-2016,Road Bikes,540,506,291
01-02-2016,Tires and Tubes,135,176,73
01-02-2016,Tires and Tubes,53,68,166
04-02-2016,Tires and Tubes,50,64,773
04-02-2016,Tires and Tubes,29,37,1746
07-02-2016,Road Bikes,1701,1679,238
07-03-2016,Tires and Tubes,65,86,71
07-03-2016,Tires and Tubes,88,115,1010
27-03-2016,Tires and Tubes,96,109,864
27-03-2016,Tires and Tubes,359,472,941
26-04-2016,Touring Bikes,1215,1230,2821
08-05-2016,Tires and Tubes,60,86,2553
08-05-2016,Tires and Tubes,350,415,300
30-05-2016,Touring Bikes,2384,2818,1041
12-06-2016,Touring Bikes,742,758,1881
17-06-2016,Road Bikes,540,496,2381
17-06-2016,Road Bikes,540,579,402
25-06-2016,Tires and Tubes,98,129,40
25-06-2016,Tires and Tubes,92,119,65
01-07-2016,Tires and Tubes,430,514,2486
01-07-2016,Tires and Tubes,55,74,30
12-07-2016,Tires and Tubes,406,515,2304
12-07-2016,Tires and Tubes,40,52,560
21-07-2016,Tires and Tubes,330,394,960
20-05-2015,Road Bikes,1000,899,3098
01-07-2015,Tires and Tubes,840,931,2033
01-07-2015,Tires and Tubes,150,153,154
04-08-2015,Tires and Tubes,150,168,220
01-10-2015,Tires and Tubes,675,725,2312
01-10-2015,Tires and Tubes,25,24,503
22-10-2015,Tires and Tubes,425,452,1851
22-10-2015,Tires and Tubes,64,70,1580
15-11-2015,Tires and Tubes,140,150,333
19-11-2015,Road Bikes,1701,1711,2205
21-11-2015,Road Bikes,1120,976,1172
21-11-2015,Tires and Tubes,24,29,161
21-11-2015,Tires and Tubes,200,206,810
17-12-2015,Tires and Tubes,4,4,228
17-12-2015,Tires and Tubes,652,717,3261
17-12-2015,Tires and Tubes,60,67,224
18-12-2015,Tires and Tubes,360,416,422
18-12-2015,Tires and Tubes,125,137,879
26-12-2015,Tires and Tubes,104,111,371
26-12-2015,Tires and Tubes,913,948,1644
02-06-2016,Touring Bikes,742,754,59
24-06-2016,Touring Bikes,2384,2411,1379
28-01-2016,Caps,225,302,798
07-02-2016,Caps,18,21,102
17-06-2016,Caps,117,124,69
24-07-2015,Caps,180,231,119
24-09-2015,Caps,216,196,24
24-11-2015,Bike Stands,1590,1772,627
28-08-2015,Mountain Bikes,2295,2149,2008
02-01-2016,Tires and Tubes,630,717,162
02-01-2016,Tires and Tubes,95,112,1873
14-01-2016,Tires and Tubes,300,353,1966
14-01-2016,Tires and Tubes,130,179,2253
09-02-2016,Tires and Tubes,25,33,2521
10-02-2016,Tires and Tubes,560,659,309
10-02-2016,Tires and Tubes,9,13,127
20-04-2016,Tires and Tubes,978,1252,2573
24-04-2016,Tires and Tubes,120,141,282
01-06-2016,Tires and Tubes,390,504,19
01-06-2016,Tires and Tubes,50,60,985
02-07-2016,Tires and Tubes,203,239,410
02-07-2016,Tires and Tubes,75,92,407
02-07-2016,Tires and Tubes,57,75,182
20-07-2015,Tires and Tubes,350,411,2618
20-07-2015,Tires and Tubes,76,87,206
20-07-2015,Tires and Tubes,18,21,38
30-01-2016,Cleaners,191,253,1352
15-07-2015,Cleaners,24,24,252
29-11-2015,Cleaners,119,127,1855
05-07-2015,Cleaners,231,273,537
09-07-2015,Cleaners,56,63,2808
10-08-2015,Cleaners,191,229,20
09-09-2015,Cleaners,111,115,2984
03-11-2015,Cleaners,183,181,31
28-01-2016,Vests,127,154,2266
09-05-2016,Cleaners,56,77,313
16-09-2015,Cleaners,40,44,135
01-02-2016,Tires and Tubes,667,862,2602
01-02-2016,Tires and Tubes,70,94,196
07-02-2016,Road Bikes,1701,1660,2008
13-02-2016,Tires and Tubes,84,100,29
13-02-2016,Tires and Tubes,554,645,199
18-02-2016,Road Bikes,540,622,530
24-02-2016,Tires and Tubes,69,83,298
24-02-2016,Road Bikes,1120,1126,207
24-02-2016,Tires and Tubes,56,74,3242
24-02-2016,Tires and Tubes,450,546,45
27-02-2016,Tires and Tubes,945,1091,382
27-02-2016,Tires and Tubes,55,69,294
31-03-2016,Bike Racks,1320,1734,152
11-04-2016,Tires and Tubes,870,1221,271
11-04-2016,Tires and Tubes,80,97,2346
19-04-2016,Road Bikes,1120,1218,101
21-04-2016,Tires and Tubes,60,71,862
03-05-2016,Road Bikes,540,521,2291
23-05-2016,Tires and Tubes,667,936,628
23-05-2016,Tires and Tubes,115,139,1625
23-05-2016,Tires and Tubes,14,17,702
24-05-2016,Road Bikes,540,549,1820
03-06-2016,Road Bikes,1120,1074,1683
04-06-2015,Road Bikes,783,739,1577
13-07-2015,Tires and Tubes,115,135,187
13-07-2015,Tires and Tubes,140,160,648
28-07-2015,Road Bikes,1120,997,1907
12-08-2015,Road Bikes,1701,1629,900
18-10-2015,Tires and Tubes,735,819,253
18-10-2015,Tires and Tubes,140,164,2823
05-11-2015,Road Bikes,1120,1062,22
06-12-2015,Tires and Tubes,150,153,2953
06-12-2015,Tires and Tubes,70,71,2925
07-12-2015,Tires and Tubes,522,539,1224
07-12-2015,Tires and Tubes,25,29,783
13-12-2015,Tires and Tubes,35,37,454
17-12-2015,Road Bikes,1120,1032,997
18-12-2015,Tires and Tubes,100,112,63
18-12-2015,Tires and Tubes,770,885,217
18-12-2015,Tires and Tubes,23,24,413
28-12-2015,Tires and Tubes,980,1153,369
28-12-2015,Tires and Tubes,5,6,102
02-08-2015,Mountain Bikes,2295,2210,729
25-08-2015,Caps,63,69,95
09-02-2016,Fenders,396,464,119
09-02-2016,Cleaners,16,19,133
27-04-2016,Mountain Bikes,2295,2456,655
20-06-2016,Fenders,593,633,85
06-08-2015,Mountain Bikes,2295,2257,753
06-08-2015,Cleaners,135,164,269
31-08-2015,Cleaners,231,235,637
19-09-2015,Mountain Bikes,2295,2237,9
29-12-2015,Road Bikes,1120,1082,610
28-05-2016,Fenders,528,615,64
21-09-2015,Hydration Packs,1210,1349,2122
21-09-2015,Cleaners,127,140,144
03-01-2016,Tires and Tubes,717,945,2562
10-01-2016,Tires and Tubes,840,1108,738
10-01-2016,Tires and Tubes,35,46,495
14-02-2016,Tires and Tubes,5,7,846
14-02-2016,Tires and Tubes,46,64,2528
19-04-2016,Tires and Tubes,105,146,973
08-07-2016,Tires and Tubes,37,44,367
04-08-2015,Tires and Tubes,100,109,174
04-08-2015,Tires and Tubes,200,207,51
02-12-2015,Tires and Tubes,108,120,181
02-12-2015,Tires and Tubes,587,630,2482
07-12-2015,Tires and Tubes,150,165,60
07-12-2015,Tires and Tubes,420,497,162
16-03-2016,Tires and Tubes,69,88,116
15-04-2016,Tires and Tubes,385,498,435
21-04-2016,Tires and Tubes,88,105,94
21-04-2016,Tires and Tubes,322,424,81
04-05-2016,Tires and Tubes,65,85,239
05-06-2016,Tires and Tubes,25,34,726
19-06-2016,Tires and Tubes,34,42,544
03-07-2016,Tires and Tubes,150,173,1038
29-08-2015,Tires and Tubes,1015,1052,1084
29-08-2015,Tires and Tubes,7,8,593
20-10-2015,Tires and Tubes,595,668,1503
20-10-2015,Tires and Tubes,80,83,3252
18-11-2015,Tires and Tubes,46,51,84
21-11-2015,Tires and Tubes,110,119,239
21-11-2015,Tires and Tubes,105,128,2235
23-11-2015,Tires and Tubes,25,27,299
04-12-2015,Tires and Tubes,20,21,402
04-12-2015,Tires and Tubes,840,850,171
12-12-2015,Tires and Tubes,945,1028,259
16-01-2016,Tires and Tubes,9,10,1141
07-03-2016,Tires and Tubes,50,69,110
27-03-2016,Tires and Tubes,115,148,73
27-03-2016,Tires and Tubes,60,75,794
14-05-2016,Tires and Tubes,135,146,158
14-05-2016,Tires and Tubes,551,746,598
14-05-2016,Tires and Tubes,27,36,636
29-05-2016,Tires and Tubes,5,6,2413
04-06-2016,Tires and Tubes,130,153,1944
04-06-2016,Tires and Tubes,725,973,100
01-07-2016,Tires and Tubes,725,973,227
01-07-2016,Tires and Tubes,100,121,195
22-10-2015,Tires and Tubes,5,6,350
22-10-2015,Tires and Tubes,30,33,75
08-11-2015,Tires and Tubes,85,94,2855
08-11-2015,Tires and Tubes,1015,1090,263
08-11-2015,Tires and Tubes,53,55,14
17-12-2015,Tires and Tubes,16,19,324
17-12-2015,Tires and Tubes,425,469,1883
17-12-2015,Tires and Tubes,46,54,186
05-06-2016,Cleaners,231,288,194
17-01-2016,Mountain Bikes,2295,2211,146
24-01-2016,Mountain Bikes,2320,2242,245
24-04-2016,Road Bikes,1701,1680,57
04-04-2015,Road Bikes,1000,891,208
09-05-2015,Road Bikes,1000,931,2141
16-05-2015,Road Bikes,1000,941,774
